part,filename,rel_path,label,original,group_id,split
dfdc_train_part_00,owxbbpjpch.mp4,dfdc_train_part_00/owxbbpjpch.mp4,FAKE,wynotylpnm.mp4,wynotylpnm.mp4,train
dfdc_train_part_00,vpmyeepbep.mp4,dfdc_train_part_00/vpmyeepbep.mp4,REAL,,vpmyeepbep.mp4,train
dfdc_train_part_00,htorvhbcae.mp4,dfdc_train_part_00/htorvhbcae.mp4,FAKE,wclvkepakb.mp4,wclvkepakb.mp4,train
dfdc_train_part_00,fckxaqjbxk.mp4,dfdc_train_part_00/fckxaqjbxk.mp4,FAKE,vpmyeepbep.mp4,vpmyeepbep.mp4,train
dfdc_train_part_00,komngcqveq.mp4,dfdc_train_part_00/komngcqveq.mp4,FAKE,kqlvggiqee.mp4,kqlvggiqee.mp4,train
dfdc_train_part_00,iafvzgpbix.mp4,dfdc_train_part_00/iafvzgpbix.mp4,FAKE,lzbmwwejxb.mp4,lzbmwwejxb.mp4,train
dfdc_train_part_00,uaukglhmje.mp4,dfdc_train_part_00/uaukglhmje.mp4,FAKE,jytrvwlewz.mp4,jytrvwlewz.mp4,train
dfdc_train_part_00,syxobtuucp.mp4,dfdc_train_part_00/syxobtuucp.mp4,REAL,,syxobtuucp.mp4,train
dfdc_train_part_00,viuioldtnu.mp4,dfdc_train_part_00/viuioldtnu.mp4,FAKE,exxqlfpnbz.mp4,exxqlfpnbz.mp4,train
dfdc_train_part_00,wnaweyzlqh.mp4,dfdc_train_part_00/wnaweyzlqh.mp4,FAKE,vpmyeepbep.mp4,vpmyeepbep.mp4,train
dfdc_train_part_00,ejhhdlzpjg.mp4,dfdc_train_part_00/ejhhdlzpjg.mp4,FAKE,nweufafotd.mp4,nweufafotd.mp4,train
dfdc_train_part_00,sxyrkshzsg.mp4,dfdc_train_part_00/sxyrkshzsg.mp4,FAKE,jvtjxreizj.mp4,jvtjxreizj.mp4,train
dfdc_train_part_00,kedahvzait.mp4,dfdc_train_part_00/kedahvzait.mp4,FAKE,wclvkepakb.mp4,wclvkepakb.mp4,train
dfdc_train_part_00,idczhqbbqz.mp4,dfdc_train_part_00/idczhqbbqz.mp4,FAKE,prmwoaeeng.mp4,prmwoaeeng.mp4,train
dfdc_train_part_00,clzkcmoyhb.mp4,dfdc_train_part_00/clzkcmoyhb.mp4,FAKE,gnmmhlbzge.mp4,gnmmhlbzge.mp4,train
dfdc_train_part_00,vpjfmetsvn.mp4,dfdc_train_part_00/vpjfmetsvn.mp4,FAKE,nweufafotd.mp4,nweufafotd.mp4,train
dfdc_train_part_00,muksyyltmg.mp4,dfdc_train_part_00/muksyyltmg.mp4,FAKE,fopjiyxiqd.mp4,fopjiyxiqd.mp4,train
dfdc_train_part_00,ztwlbdwyni.mp4,dfdc_train_part_00/ztwlbdwyni.mp4,FAKE,kqlvggiqee.mp4,kqlvggiqee.mp4,train
dfdc_train_part_00,jaurxwocly.mp4,dfdc_train_part_00/jaurxwocly.mp4,FAKE,pqdeutauqc.mp4,pqdeutauqc.mp4,train
dfdc_train_part_00,jkxjvuioek.mp4,dfdc_train_part_00/jkxjvuioek.mp4,FAKE,wfzjxzhdkj.mp4,wfzjxzhdkj.mp4,train
dfdc_train_part_00,dhjnjkzuhq.mp4,dfdc_train_part_00/dhjnjkzuhq.mp4,REAL,,dhjnjkzuhq.mp4,train
