part,filename,rel_path,label,original,group_id
dfdc_train_part_00,owxbbpjpch.mp4,dfdc_train_part_00/owxbbpjpch.mp4,FAKE,wynotylpnm.mp4,wynotylpnm.mp4
dfdc_train_part_00,vpmyeepbep.mp4,dfdc_train_part_00/vpmyeepbep.mp4,REAL,,vpmyeepbep.mp4
dfdc_train_part_00,fzvpbrzssi.mp4,dfdc_train_part_00/fzvpbrzssi.mp4,REAL,,fzvpbrzssi.mp4
dfdc_train_part_00,htorvhbcae.mp4,dfdc_train_part_00/htorvhbcae.mp4,FAKE,wclvkepakb.mp4,wclvkepakb.mp4
dfdc_train_part_00,fckxaqjbxk.mp4,dfdc_train_part_00/fckxaqjbxk.mp4,FAKE,vpmyeepbep.mp4,vpmyeepbep.mp4
dfdc_train_part_00,sphirandia.mp4,dfdc_train_part_00/sphirandia.mp4,FAKE,jawgcggquk.mp4,jawgcggquk.mp4
dfdc_train_part_00,vsmadeuczx.mp4,dfdc_train_part_00/vsmadeuczx.mp4,FAKE,qarqtkvgby.mp4,qarqtkvgby.mp4
dfdc_train_part_00,ohaqlzfnuv.mp4,dfdc_train_part_00/ohaqlzfnuv.mp4,FAKE,sttnfyptum.mp4,sttnfyptum.mp4
dfdc_train_part_00,komngcqveq.mp4,dfdc_train_part_00/komngcqveq.mp4,FAKE,kqlvggiqee.mp4,kqlvggiqee.mp4
dfdc_train_part_00,iafvzgpbix.mp4,dfdc_train_part_00/iafvzgpbix.mp4,FAKE,lzbmwwejxb.mp4,lzbmwwejxb.mp4
dfdc_train_part_00,uaukglhmje.mp4,dfdc_train_part_00/uaukglhmje.mp4,FAKE,jytrvwlewz.mp4,jytrvwlewz.mp4
dfdc_train_part_00,syxobtuucp.mp4,dfdc_train_part_00/syxobtuucp.mp4,REAL,,syxobtuucp.mp4
dfdc_train_part_00,dtjcyzgdts.mp4,dfdc_train_part_00/dtjcyzgdts.mp4,FAKE,wcqvzujamg.mp4,wcqvzujamg.mp4
dfdc_train_part_00,viuioldtnu.mp4,dfdc_train_part_00/viuioldtnu.mp4,FAKE,exxqlfpnbz.mp4,exxqlfpnbz.mp4
dfdc_train_part_00,wnaweyzlqh.mp4,dfdc_train_part_00/wnaweyzlqh.mp4,FAKE,vpmyeepbep.mp4,vpmyeepbep.mp4
dfdc_train_part_00,ejhhdlzpjg.mp4,dfdc_train_part_00/ejhhdlzpjg.mp4,FAKE,nweufafotd.mp4,nweufafotd.mp4
dfdc_train_part_00,sxyrkshzsg.mp4,dfdc_train_part_00/sxyrkshzsg.mp4,FAKE,jvtjxreizj.mp4,jvtjxreizj.mp4
dfdc_train_part_00,uvfkppqsjy.mp4,dfdc_train_part_00/uvfkppqsjy.mp4,FAKE,gvasarkpfh.mp4,gvasarkpfh.mp4
dfdc_train_part_00,kedahvzait.mp4,dfdc_train_part_00/kedahvzait.mp4,FAKE,wclvkepakb.mp4,wclvkepakb.mp4
dfdc_train_part_00,idczhqbbqz.mp4,dfdc_train_part_00/idczhqbbqz.mp4,FAKE,prmwoaeeng.mp4,prmwoaeeng.mp4
dfdc_train_part_00,clzkcmoyhb.mp4,dfdc_train_part_00/clzkcmoyhb.mp4,FAKE,gnmmhlbzge.mp4,gnmmhlbzge.mp4
dfdc_train_part_00,vpjfmetsvn.mp4,dfdc_train_part_00/vpjfmetsvn.mp4,FAKE,nweufafotd.mp4,nweufafotd.mp4
dfdc_train_part_00,muksyyltmg.mp4,dfdc_train_part_00/muksyyltmg.mp4,FAKE,fopjiyxiqd.mp4,fopjiyxiqd.mp4
dfdc_train_part_00,ztwlbdwyni.mp4,dfdc_train_part_00/ztwlbdwyni.mp4,FAKE,kqlvggiqee.mp4,kqlvggiqee.mp4
dfdc_train_part_00,jaurxwocly.mp4,dfdc_train_part_00/jaurxwocly.mp4,FAKE,pqdeutauqc.mp4,pqdeutauqc.mp4
dfdc_train_part_00,jkxjvuioek.mp4,dfdc_train_part_00/jkxjvuioek.mp4,FAKE,wfzjxzhdkj.mp4,wfzjxzhdkj.mp4
dfdc_train_part_00,dhjnjkzuhq.mp4,dfdc_train_part_00/dhjnjkzuhq.mp4,REAL,,dhjnjkzuhq.mp4
dfdc_train_part_00,xcruhaccxc.mp4,dfdc_train_part_00/xcruhaccxc.mp4,REAL,,xcruhaccxc.mp4
dfdc_train_part_00,rfpjsloxzg.mp4,dfdc_train_part_00/rfpjsloxzg.mp4,FAKE,dxfdovivlw.mp4,dxfdovivlw.mp4
dfdc_train_part_00,kmcdjxmnoa.mp4,dfdc_train_part_00/kmcdjxmnoa.mp4,FAKE,sttnfyptum.mp4,sttnfyptum.mp4
dfdc_train_part_00,vvwuqslvnq.mp4,dfdc_train_part_00/vvwuqslvnq.mp4,FAKE,ddtbarpcgo.mp4,ddtbarpcgo.mp4
dfdc_train_part_00,rpxnyljmsf.mp4,dfdc_train_part_00/rpxnyljmsf.mp4,FAKE,nweufafotd.mp4,nweufafotd.mp4
dfdc_train_part_00,txxungvxms.mp4,dfdc_train_part_00/txxungvxms.mp4,FAKE,lzbmwwejxb.mp4,lzbmwwejxb.mp4
dfdc_train_part_00,vtunvalyji.mp4,dfdc_train_part_00/vtunvalyji.mp4,REAL,,vtunvalyji.mp4
dfdc_train_part_00,ihnhxathkq.mp4,dfdc_train_part_00/ihnhxathkq.mp4,FAKE,sttnfyptum.mp4,sttnfyptum.mp4
dfdc_train_part_00,lobxktzhbg.mp4,dfdc_train_part_00/lobxktzhbg.mp4,FAKE,dhjnjkzuhq.mp4,dhjnjkzuhq.mp4
dfdc_train_part_00,slhinthqcq.mp4,dfdc_train_part_00/slhinthqcq.mp4,FAKE,wfzjxzhdkj.mp4,wfzjxzhdkj.mp4
dfdc_train_part_00,hqzwudvhih.mp4,dfdc_train_part_00/hqzwudvhih.mp4,FAKE,xmkwsnuzyq.mp4,xmkwsnuzyq.mp4
dfdc_train_part_00,xpzfhhwkwb.mp4,dfdc_train_part_00/xpzfhhwkwb.mp4,FAKE,xmkwsnuzyq.mp4,xmkwsnuzyq.mp4
dfdc_train_part_00,sglzgdcjkb.mp4,dfdc_train_part_00/sglzgdcjkb.mp4,FAKE,vokrpfjpeb.mp4,vokrpfjpeb.mp4
dfdc_train_part_00,xxvwbfmgzy.mp4,dfdc_train_part_00/xxvwbfmgzy.mp4,FAKE,doniqevxeg.mp4,doniqevxeg.mp4
dfdc_train_part_00,dtmlspmqqp.mp4,dfdc_train_part_00/dtmlspmqqp.mp4,FAKE,aayrffkzxn.mp4,aayrffkzxn.mp4
dfdc_train_part_00,hsxrmrcaqh.mp4,dfdc_train_part_00/hsxrmrcaqh.mp4,FAKE,upmgtackuf.mp4,upmgtackuf.mp4
dfdc_train_part_00,ykbhmueovi.mp4,dfdc_train_part_00/ykbhmueovi.mp4,FAKE,prmwoaeeng.mp4,prmwoaeeng.mp4
